Data transação,Data liquidação,Descrição,Valor,Saldo
2024-12-10,2024-12-11,Cobrança de taxa de corretagem de RCL,-2.5,556.73
2024-12-10,2024-12-11,Taxa de corretagem de Opções,-1,559.23
2024-12-10,2024-12-11,Venda de 1 contrato de PUT de TSLA a $ 021 cada,21,560.23
2024-12-11,2024-12-11,Imposto sobre dividendo de IBM,-8.42,24.22
2024-12-11,2024-12-11,Imposto sobre dividendo de LLY,-1.95,32.64
2024-12-11,2024-12-11,Dividendos de IBM,28.08,34.59
2024-12-11,2024-12-11,Dividendos de LLY,6.5,6.51
2024-12-12,2024-12-12,Rentabilidade de aluguel de ativo,0.9,24.85
2024-12-12,2024-12-12,Imposto de aluguel de ativo,-0.27,23.95
2024-12-14,2024-12-16,Dividendos de CONY,1167.8,842.31
2024-12-14,2024-12-16,Imposto sobre dividendo de CONY,-350.34,-325.49
2024-12-16,2024-12-17,Compra de 927 PYPL a $ 9059 cada,-839.81,-0
2024-12-16,2024-12-17,Cobrança de taxa de corretagem de PYPL,-2.5,839.81
2024-12-17,2024-12-17,Dividendos de GOOGL,5.4,3.78
2024-12-17,2024-12-17,Imposto sobre dividendo de GOOGL,-1.62,-1.62
2024-12-20,2024-12-20,Imposto sobre dividendo de QCOM,-5.29,16.12
2024-12-20,2024-12-20,Dividendos de QCOM,17.63,21.41
2024-12-21,2024-12-23,Dividendos de MSTY,1571.87,1116.43
2024-12-21,2024-12-23,Imposto sobre dividendo de MSTY,-471.56,-455.44
2024-12-23,2024-12-24,Compra de 1281 PYPL a $ 8674 cada,-1111.43,-0
2024-12-23,2024-12-24,Cobrança de taxa de corretagem de PYPL,-5,1111.43
2024-12-28,2024-12-30,Dividendos de NVDA,0.42,2.56
2024-12-28,2024-12-30,Imposto sobre dividendo de META,-0.98,2.14
2024-12-28,2024-12-30,Imposto sobre dividendo de NVDA,-0.13,3.12
2024-12-28,2024-12-30,Dividendos de META,3.25,3.25
2025-01-01,2025-01-02,Dividendos de AVGO,21.24,17.43
2025-01-01,2025-01-02,Imposto sobre dividendo de AVGO,-6.37,-3.81
2025-01-07,2025-01-07,Dividendos de NVDY,583.9,426.16
2025-01-07,2025-01-07,Imposto sobre dividendo de NVDY,-175.17,-157.74
2025-01-11,2025-01-13,Imposto sobre dividendo de CONY,-218.15,935.22
2025-01-11,2025-01-13,Dividendos de CONY,727.16,1153.37
2025-01-11,2025-01-13,Imposto sobre dividendo de CONY,-0.02,426.21
2025-01-11,2025-01-13,Dividendos de CONY,0.07,426.23
2025-01-14,2025-01-14,Imposto de aluguel de ativo,-0.26,941.4
2025-01-14,2025-01-14,Rentabilidade de aluguel de ativo,0.88,941.66
2025-01-14,2025-01-14,Dividendos de RCL,5.56,940.78
2025-01-18,2025-01-21,Dividendos de MSTY,1162.39,1755.07
2025-01-18,2025-01-21,Imposto sobre dividendo de MSTY,-348.72,592.68
2025-01-21,2025-01-22,Cobrança de taxa de corretagem de TSLY,-5,9.14
2025-01-21,2025-01-22,Compra de 122 TSLY a $ 1427 cada,-1740.93,14.14
2025-01-25,2025-01-27,Imposto sobre dividendo de TSLY,-26.24,70.37
2025-01-25,2025-01-27,Dividendos de TSLY,87.47,96.61
2025-01-29,2025-01-29,Transferência da Conta corrente para Conta investimento,10.4,60.77
2025-01-29,2025-01-29,Transferência para Conta corrente,-20,50.37
2025-02-01,2025-02-03,Dividendos de NVDY,539.11,438.15
2025-02-01,2025-02-03,Imposto sobre dividendo de NVDY,-161.73,-100.96
2025-02-03,2025-02-04,Compra de 34 TSLY a $ 1263 cada,-429.25,6.4
2025-02-03,2025-02-04,Cobrança de taxa de corretagem de TSLY,-2.5,435.65
2025-02-06,2025-02-06,Transferência para Conta corrente,-0.03,6.37
2025-02-08,2025-02-10,Dividendos de CONY,912.81,645.4
2025-02-08,2025-02-10,Imposto sobre dividendo de CONY,-273.84,-267.41
2025-02-08,2025-02-10,Imposto sobre dividendo de CONY,-0.02,6.43
2025-02-08,2025-02-10,Dividendos de CONY,0.08,6.45
2025-02-10,2025-02-11,Cobrança de taxa de corretagem de TSLY,-2.5,3.19
2025-02-10,2025-02-11,Compra de 53 TSLY a $ 1207 cada,-639.71,5.69
2025-02-12,2025-02-12,Rentabilidade de aluguel de ativo,2.61,5.02
2025-02-12,2025-02-12,Imposto de aluguel de ativo,-0.78,2.41
2025-02-15,2025-02-18,Dividendos de MSTY,1031.02,726.73
2025-02-15,2025-02-18,Imposto sobre dividendo de MSTY,-309.31,-304.29
2025-02-18,2025-02-19,Compra de 60 TSLY a $ 1208 cada,-724.8,-0.57
2025-02-18,2025-02-19,Cobrança de taxa de corretagem de TSLY,-2.5,724.23
2025-02-21,2025-02-21,Dividendos de OMF,94.64,65.68
2025-02-21,2025-02-21,Imposto sobre dividendo de OMF,-28.39,-28.96
2025-02-22,2025-02-24,Dividendos de TSLY,155.83,174.76
2025-02-22,2025-02-24,Imposto sobre dividendo de TSLY,-46.75,18.93
2025-03-01,2025-03-03,Imposto sobre dividendo de NVDY,-314.3,908.13
2025-03-01,2025-03-03,Dividendos de NVDY,1047.67,1222.43
2025-03-04,2025-03-05,Compra de 45 FI a $ 22558 cada,-10150.88,29976.85
2025-03-04,2025-03-04,Transferência da Conta corrente para Conta investimento,39219.6,40127.73
2025-03-05,2025-03-06,Compra de 229 MSTY a $ 2131 cada,-4880.79,27.87
2025-03-05,2025-03-06,Cobrança de taxa de corretagem de MSTY,-10,4908.66
2025-03-05,2025-03-06,Cobrança de taxa de corretagem de NVDY,-10,4918.66
2025-03-05,2025-03-06,Compra de 272 NVDY a $ 1702 cada,-4629.66,4928.66
2025-03-05,2025-03-06,Cobrança de taxa de corretagem de CONY,-10,9558.32
2025-03-05,2025-03-06,Compra de 710 CONY a $ 985 cada,-6993.43,9568.32
2025-03-05,2025-03-06,Compra de 1.455 TSLY a $ 922 cada,-13415.1,16561.75
2025-03-08,2025-03-10,Dividendos de CONY,522.24,691.13
2025-03-08,2025-03-10,Imposto sobre dividendo de CONY,-156.67,168.89
2025-03-08,2025-03-10,Imposto sobre dividendo de CONY,-127.58,325.56
2025-03-08,2025-03-10,Dividendos de CONY,425.27,453.14
2025-03-11,2025-03-11,Imposto sobre dividendo de IBM,-8.42,716.04
2025-03-11,2025-03-11,Imposto sobre dividendo de LLY,-2.25,724.46
